| RU | GE | TGE | EN | TEN | Content |
| 19 | ცხრამეტი | Цхрамети | nineteen | - | Правила Числа |
| 20 | ოცი | Оци | twenty | - | Правила Числа |
| 21 | ოცდაერთი | ОцдаЭрти | twenty one | - | Правила Числа |
| 30 | ოცდაათი | Оцдаати | Thirdty | - | Правила Числа |
| 31 | ოცდათერთმეტი | ОцдаТертмети | Thirdty one | - | Правила Числа |
| 40 | ორმოცი | ОрмОци | Forty | - | Правила Числа |
| 41 | ორმოცდაერთი | ОрмОцдаЭрти | Forty One | - | Правила Числа |
| 50 | ორმოცდაათი | ОрмОцдаАти | fifty | - | Правила Числа |
| 51 | ორმოცდაერთი | ОрмОцдаТертмети | Fifty One | - | Правила Числа |
| 60 | სამოცი | СамОци | Sixty | - | Правила Числа |
| 61 | სამოცდაერთი | СамОцдаЭрти | Sixty one | - | Правила Числа |
| 100 | ასი | Аси | one hundred | - | Правила Числа |
| 120 | ას ოცი | АсОци | one hundred and twenty | - | Правила Числа |
| 121 | ას ოცდაერთი | АсАсОци | one hundred and twenty-one | - | Правила Числа |
| 200 | ორასი | ОрАси | Two hundred | - | Правила Числа |
| 300 | სამასი | СамАси | three hundred | - | Правила Числа |
| 1000 | ათასი |  АтАси| One thousand | - | Правила Числа |
| 2000 | ორი ათასი | ОриАтАси | Two thousand | - | Правила Числа |
| 3000 | სამი ათასი | СамиАтАси | three thousand | - | Правила Числа |
| 1/3 | ერთი მესამედი | Эрти месамеди | One third | - | Правила Числа |
| 1/5 | ერთი მეხუთედი | Эрти Мехутеди | One fifth | - | Правила Числа |
| 1/10 | ერთი მეათედი | Эрти Меатеди | One tenth | - | Правила Числа |
| 1/100 | ერთი მეასედი | Эрти Меаседи | One hundredth | - | Правила Числа |
| 2/3 | ორი მეასედი | Ори меаседи | Two thirds | - | Правила Числа |
| 7/10 | შვიდი მეათედი | Швиди меатеди | Seven tenths | - | Правила Числа |
| 2/100 | ორი მეასედი | Ори меаседи | Two hundredths | - | Правила Числа |
| Первый | პირველი | p’irveli | First | - | Правила Числа |
| Третий | მესამე | mesame | third | - | Правила Числа. მე-სამ-ე |
| пятый | მეხუთე | mekhute | fifth | - | Правила Числа. მე-ხუთ-ე |
| двадцать первый | ოცდამეერთე | otsdameerte | twenty first | - | Правила Числа. ოცდა-მე-ერთ-ე |
| двадцать Третий | ოცი მესამე | otsi mesame | twenty third | - | Правила Числа. ოცი მე-სამ-ე  |
| двадцать пятый | ოცდამეხუთე | otsdamekhute | twenty fifth | - | Правила Числа. ოცდა-მე-ხუთ-ე |
| Трижды | სამჯერ | samjer | Three times | - | Правила Числа. სამ-ჯერ |
| Три раза | სამჯერ | samjer | Three times | - | Правила Числа. სამ-ჯერ |
| Третий раз | მესამეჯერ | mesamejer | Third time | - | Правила Числа. მე-სამ-ეჯერ |
| Есть | არის | aris | Have | - | არ-ის. Глагол Есть. |
| Я есть | მე ვარ | me var | I am | - | ვ-არ. Глагол Есть. |
| Ты есть | შენ ხარ | shen khar | You are | - | ხ-არ. Глагол Есть. |
| Он есть | ის არის | is aris | He is | - | არ-ის. Глагол Есть. |
| Мы есть | ჩვენ ვართ | chven vart | We are | - | ვ-არ-თ. Глагол Есть. |
| Вы есть | შენ ხარ | shen khar | You are | - | ხ-არ. Глагол Есть. |
| Они есть | ისინი არიან | isini arian | They are | - | არ-ი-ან. Глагол Есть. |
| Почему нету передачи? | რატომ არ არის გადაცემები? | rat'om ar aris gadatsemebi? | Why is there no TV show? | - | არ-ის. Глагол Есть. |
| есть | მყავს | mq’avs | have | - | глагол есть. Одушевленный предмет |
| есть | მაქვს | makvs | have | - | глагол есть. не Одушевленный предмет |
| я имею | მე მყავს | - | I have | - | глагол есть. Настоящее время. Ед. ч. |
| я имею | მე მაქვს | - | I have | - | глагол есть. Настоящее время. Ед. ч. |
| мы имеем | ჩვენ გვყავს | - | we have | - | глагол есть. Настоящее время. Мн. ч. ჩვენ გვ-ყავ-ს |
| мы имеем | ჩვენ გვაქვს | - | we have | - | глагол есть. Настоящее время. Мн. ч. ჩვენ გვ-აქვ-ს |
| ты имеешь | შენ გყავს | - | you have | - | глагол есть. Настоящее время. Ед. ч. შენ გ-ყავ-ს |
| ты имеешь | შენ გაქვს | - | you have | - | глагол есть. Настоящее время. Ед. ч. შენ გ-აქვ-ს |
| Вы имеете | თქვენ გყავთ | - | you have | - | глагол есть. Настоящее время. Мн. ч. თქვენ გ-ყავ-თ |
| вы имеете | თქვენ გაქვთ | - | you have | - | глагол есть. Настоящее время. Мн. ч. თქვენ გ-აქვ-თ |
| он имеет | მას ჰყავს | - | he has | - | глагол есть. Настоящее время. Ед. ч. მას ჰ-ყავ-ს |
| он имеет | მას აქვს | - | he has | - | глагол есть. Настоящее время. Ед. ч. მას აქვ-ს |
| Они имеют | მათ ჰყავთ | - | They have | - | глагол есть. Настоящее время. Мн. ч. მათ ჰ-ყავ-თ |
| Они имеют | მათ აქვთ | - | They have | - | глагол есть. Настоящее время. Мн. ч. მათ აქვ-თ |
| Я имел | მე მყავდა | - | I had | - | глагол есть. Прошедшее время. Ед. ч. მე მ-ყავ-და |
| Я имел | მე მქონდა | - | I had | - | глагол есть. Прошедшее время. Ед. ч. მე მ-ქო-ნდა |
| Мы имели | ჩვენ გვყავდა | - | We had | - | глагол есть. Прошедшее время. Мн. ч. ჩვენ გვ-ყავ-და |
| Мы имели | ჩვენ გვქონდა | - | We had | - | глагол есть. Прошедшее время. Мн. ч. ჩვენ გვ-ქო-ნდა |
| Ты имел | შენ გყავდა | - | You had | - | глагол есть. Прошедшее время. Ед. ч. შენ გ-ყავ-და |
| Ты имел | შენ გქონდა | - | You had | - | глагол есть. Прошедшее время. Ед. ч. შენ გ-ქო-ნდა |
| Вы имели | თქვენ გყავდათ | - | You had | - | глагол есть. Прошедшее время. Мн. ч. თქვენ გ-ყავ-დათ |
| Вы имели | თქვენ გქონდათ | - | You had | - | глагол есть. Прошедшее время. Мн. ч. თქვენ გ-ქო-ნდათ |
| он имел | მას ჰყავდა | - | he had | - | глагол есть. Прошедшее время. Ед. ч. მას ჰ-ყავ-და |
| он имел | მას ჰქონდა | - | he had | - | глагол есть. Прошедшее время. Ед. ч. მას ჰ-ქო-ნდა |
| они имели | მათ ჰყავდათ | - | they had | - | глагол есть. Прошедшее время. Мн. ч. მათ ჰ-ყავ-დათ |
| они имели | მათ ჰქონდათ | - | they had | - | глагол есть. Прошедшее время. Мн. ч. მათ ჰ-ქო-ნდათ |
| я буду иметь | მე მეყოლბა | - | I will have | - | глагол есть. Будущее время. Ед. ч. მე მე-ყოლ-ბა |
| я буду иметь | მე მექნება | - | I will have | - | глагол есть. Будущее время. Ед. ч. მე მე-ქნება |
| мы будем иметь | ჩვენ გვეყოლება | - | we will have | - | глагол есть. Будущее время. Мн. ч. ჩვენ გვე-ყოლ-ება |
| мы будем иметь | ჩვენ გვექნება | - | we will have | - | глагол есть. Будущее время. Мн. ч. ჩვენ გვე-ქნება |
| ты будешь иметь | შენ გეყოლება | - | you will have | - | глагол есть. Будущее время. Ед. ч. შენ გე-ყოლ-ება |
| ты будешь иметь | შენ გექნება | - | you will have | - | глагол есть. Будущее время. Ед. ч. შენ გე-ქნება |
| вы будете иметь | თქვენ გეყოლებათ | - | you will have | - | глагол есть. Будущее время. Мн. ч. თქვენ გე-ყოლ-ებათ |
| вы будете иметь | თქვენ გექნებათ | - | you will have | - | глагол есть. Будущее время. Мн. ч. თქვენ გე-ქნება-თ |
| он будет иметь | მას ეყოლება | - | he will have | - | глагол есть. Будущее время. Ед. ч. მას ე-ყოლ-ება |
| он будет иметь | მას ექნება | - | he will have | - | глагол есть. Будущее время. Ед. ч. მას ე-ქნება |
| они будут иметь | მათ ეყოლებათ | - | they will have | - | глагол есть. Будущее время. Мн. ч. მათ ე-ყოლ-ებათ |
| они будут иметь | მათ ექნებათ | - | they will have | - | глагол есть. Будущее время. Мн. ч. მათ ე-ქნება-თ |
| Быть | იყოს | iq’os | Be | - | იყ-ოს. Глагол Быть. |
| Я был | მე ვიყავი | me viq’avi | I was | - | ვ-იყ-ავი. Глагол Быть. |
| Ты был | შენ იყავი | shen iq’avi | You were | - | იყ-ავი. Глагол Быть. |
| Он был | ის იყო | is iq’o | He was | - | იყ-ო. Глагол Быть. |
| Мы были | ჩვენ ვიყავით | chven viq’avit | We were | - | ვ-იყ-ავით. Глагол Быть. |
| Вы были | შენ იყავი | shen iq’avi | You were | - | იყ-ავი. Глагол Быть. |
| Они были | ისინი იყვნენ | isini iq’vnen | They were | - | იყ-ვნენ. Глагол Быть. |
| Я буду | მე ვიქნება | me vikneba | I will | - | ვ-იქნებ-ა. Глагол Быть. |
| Ты будешь | შენ იქნები | You will | shen iknebi | - | იქნებ-ი. Глагол Быть. |
| Он будет | ის იქნება | is ikneba | He will | - | იქნებ-ა. Глагол Быть. |
| Мы будем | ჩვენ ვიქნებით | chven viknebit | We will | - | ვ-იქნებ-ით. Глагол Быть. |
| Вы будете | შენ იქნები | shen iknebi | You will | - | იქნებ-ი. Глагол Быть. |
| Они будут | ისინი იქნებიან | isini iknebian | They will | - | იქნებ-იან. Глагол Быть. |
| Работать | მუშაობა | mushaoba | work | - | глагол Работать. |
| Я работаю | მე ვმუშაობ | me vmushaob | I work | - | глагол Работать. Настоящее время. Ед. ч. ვ-მუშა-ობ |
| Мы работаем | ჩვენ ვმუშაობთ | chven vmushaobt | We work | - | глагол Работать. Настоящее время. Мн. ч. ვ-მუშა-ობთ |
| Ты работаешь | შენ მუშაობ | shen mushaob | You work | - | глагол Работать. Настоящее время. Ед. ч. მუშა-ობ |
| вы работаете | შენ მუშაობთ | shen mushaobt | You work | - | глагол Работать. Настоящее время. Мн. ч. მუშა-ობთ |
| Он работает | ის მუშაობს | is mushaobs | He work | - | глагол Работать. Настоящее время. Ед. ч. მუშა-ობს |
| Они работают | ისინი მუშაობენ | isini mushaoben | They work | - | глагол Работать. Настоящее время. Мн. ч. მუშა-ობენ |
| Я буду работать | მე ვიმუშავებ | me vimushaveb | I will work | - | глагол Работать. Будущее время. Ед. ч. ვი-მუშა-ვებ |
| Мы будем работать | ჩვენ ვიმუშავებთ | chven vimushavebt | We will work | - | глагол Работать. Будущее время. Мн. ч. ვი-მუშა-ვებთ |
| Ты будешь работать | შენ იმუშავებ | shen imushaveb | You will work | - | глагол Работать. Будущее время. Ед. ч. ი-მუშა-ვებ  |
| Вы будете работать | შენ იმუშავებთ | shen imushavebt | You will work | - | глагол Работать. Будущее время. Мн. ч. ი-მუშა-ვებთ |
| Он будет работать | ის იმუშავებს | is imushavebs | He will work | - | глагол Работать. Будущее время. Ед. ч. ი-მუშა-ვებს |
| Они будут работать | ისინი იმუშავებენ | isini imushaveben | They will work | - | глагол Работать. Будущее время. Мн. ч. ი-მუშა-ვებენ |
| Я работал | მე ვმუშაობდი | me vmushaobdi | I worked | - | глагол Работать. Прошедшее время. Несовершенный вид. Ед. ч. ვ-მუშა-ობდი |
| Мы работали | ჩვენ ვმუშაობდით | chven vmushaobdit | We worked | - | глагол Работать. Прошедшее время. Несовершенный вид. Мн. ч. ვ-მუშა-ობდით |
| Ты работал | შენ მუშაობდი | shen mushaobdi | You worked | - | глагол Работать. Прошедшее время. Несовершенный вид. Ед. ч. მუშა-ობდი |
| Вы работали | შენ მუშაობდით | shen mushaobdit | You worked | - | глагол Работать. Прошедшее время. Несовершенный вид. Мн. ч. მუშა-ობდით |
| он работал | ის მუშაობდა | is mushaobda | he worked | - | глагол Работать. Прошедшее время. Несовершенный вид. Ед. ч. მუშა-ობდა |
| Они работали | ისინი მუშაობდნენ | isini mushaobdnen | They worked | - | глагол Работать. Прошедшее время. Несовершенный вид. Мн. ч. მუშა-ობდნენ |
| Я поработал | მე ვმუშაობდი | me vmushaobdi | I worked | - | глагол Работать. Прошедшее время. Совершенный вид. Ед. ч. ვ-მუშა-ობდი |
| Мы поработали | ჩვენ ვმუშაობდით | chven vmushaobdit | We worked | - | глагол Работать. Прошедшее время. Совершенный вид. Мн. ч. ვ-მუშა-ობდით  |
| Ты работал | შენ მუშაობდი | shen mushaobdi | You have worked | - | глагол Работать. Прошедшее время. Совершенный вид. Ед. ч. მუშა-ობდი |
| Вы поработали | შენ მუშაობდი | shen mushaobdi | You have worked | - | глагол Работать. Прошедшее время. Совершенный вид. Мн. ч. მუშა-ობდი |
| Он поработал | ის მუშაობდა | is mushaobda | He worked | - | глагол Работать. Прошедшее время. Совершенный вид. Ед. ч. მუშა-ობდა |
| Они поработали | ისინი მუშაობდნენ | isini mushaobdnen | They worked | - | глагол Работать. Прошедшее время. Совершенный вид. Мн. ч. მუშა-ობდნენ |
| Ты работай | შენ მუშაობდი | shen mushaobdi | You work | - | глагол Работать. Повелительное наклонение. Ед. ч. მუშა-ობდი |
| Вы работайте | შენ მუშაობდით | shen mushaobdit | You work | - | глагол Работать. Повелительное наклонение. Мн. ч. მუშა-ობდით |
| Чтобы мне работать | ვიმუშაო | vimushao | For me to work | - | глагол Работать. Условное наклонение. Для совершения действия в будущем. Ед. ч. ვი-მუშა-ო |
| Чтобы нам работать | ვიმუშაოთ | vimushaot | For us to work | - | глагол Работать. Условное наклонение. Для совершения действия в будущем. Мн. ч. ვი-მუშა-ოთ |
| Чтобы тебе работать | იმუშაო | imushao | For you to work | - | глагол Работать. Условное наклонение. Для совершения действия в будущем. Ед. ч. ი-მუშა-ო |
| Чтобы вам работать | იმუშაოთ | imushaot | For you to work | - | глагол Работать. Условное наклонение. Для совершения действия в будущем. Мн. ч. ი-მუშა-ოთ |
| Чтобы ему работать | იმუშაოს | imushaos | For him to work | - | глагол Работать. Условное наклонение. Для совершения действия в будущем. Ед. ч. ი-მუშა-ოს |
| Чтобы им работать | იმუშაონ | imushaon | For them to work | - | глагол Работать. Условное наклонение. Для совершения действия в будущем. Мн. ч. ი-მუშა-ონ |
| Я поработал бы | მე ვიმუშავებდი | me vimushavebdi | I would work | - | глагол Работать. Условное наклонение. Для совершения действия в прошлом. Ед. ч. ვი-მუშა-ვებდი |
| Мы поработали бы | ჩვენ ვიმუშავებდით | chven vimushavebdit | we would work | - | глагол Работать. Условное наклонение. Для совершения действия в прошлом. Мн. ч. ვი-მუშა-ვებდით |
| Ты поработал бы | შენ იმუშავებდი | shen imushavebdi | You should work | - | глагол Работать. Условное наклонение. Для совершения действия в прошлом. Ед. ч. ი-მუშა-ვებდი |
| Вы поработали бы | შენ იმუშავებდით | shen imushavebdit | You should work | - | глагол Работать. Условное наклонение. Для совершения действия в прошлом. Мн. ч. ი-მუშა-ვებდით |
| Он поработал бы | ის იმუშავებდა | is imushavebda | He would work | - | глагол Работать. Условное наклонение. Для совершения действия в прошлом. Ед. ч. ი-მუშავ-ებდა |
| Они поработали бы | ისინი იმუშავებდნენ | isini imushavebdnen | They would work | - | глагол Работать. Условное наклонение. Для совершения действия в прошлом. Мн. ч. ი-მუშა-ვებდნენ |
| Знать | ვიცი | vitsi | Know | - | глагол Знать. |
| Я знаю | მე ვიცი | me vitsi | I know | - | глагол Знать. Настоящее время. Ед. ч. ვ-იცი |
| Мы знаем | ჩვენ ვიცით | chven vitsit | We know | - | глагол Знать. Настоящее время. Мн. ч. ვ-იცი-თ |
| Ты знаешь | თქვენ იცი | tkven itsi | You know | - | глагол Знать. Настоящее время. Ед. ч. იცი |
| Вы знаете | თქვენ იცით | tkven itsit | You know | - | глагол Знать. Настоящее время. Мн. ч. იცი-თ |
| Он знает | მან იცის | man itsis | He know | - | глагол Знать. Настоящее время. Ед. ч. იცი-ს |
| Они знают | მათ იციან | mat itsian | They know | - | глагол Знать. Настоящее время. Мн. ч. იცი-ან |
| Я знал | მე ვიცოდი | me vitsodi | I knew | - | глагол Знать. Прошедшее время. Ед. ч. ვ-იცოდ-ი |
| Мы знали | ჩვენ ვიცოდით | chven vitsodit | We knew | - | глагол Знать. Прошедшее время. Мн. ч. ვ-იცოდ-ით |
| Ты знал | თქვენ იცოდი | tkven itsodi | you know | - | глагол Знать. Прошедшее время. Ед. ч. იცოდ-ი |
| Вы знали | თქვენ იცოდით | tkven itsodit | you know | - | глагол Знать. Прошедшее время. Мн. ч. იცოდ-ით |
| Он знал | მან იცოდა | man itsoda | He knew | - | глагол Знать. Прошедшее время. Ед. ч. იცოდ-ა |
| Они знали | მათ იცოდნენ | mat itsodnen | They knew | - | глагол Знать. Прошедшее время. Мн. ч. იცოდ-ნენ |
| Я буду знать | მე მეცოდინება | me metsodineba | I will know | - | глагол Знать. Будущее время. Ед. ч. მ-ეცოდინება |
| Мы будем знать | ჩვენ გვეცოდინება | chven gvetsodineba | We will know | - | глагол Знать. Будущее время. Мн. ч. გვ-ეცოდინება |
| Ты будешь знать | თქვენ გეცოდინება | tkven getsodineba | You will know | - | глагол Знать. Будущее время. Ед. ч. გ-ეცოდინება |
| Вы будете знать | თქვენ გეცოდინებათ | tkven getsodinebat | You will know | - | глагол Знать. Будущее время. Мн. ч. გ-ეცოდინება-თ |
| Он будет знать | მას  ეცოდინება | mas etsodineba | He will know | - | глагол Знать. Будущее время. Ед. ч. ეცოდინება |
| Они будут знать | მათ ეცოდინებათ | mat etsodinebat | They will know | - | глагол Знать. Будущее время. Мн. ч. ეცოდინება-თ |
| Ты знай | თქვენ იცოდე | tkven itsode | You know | - | глагол Знать. Повелительное наклонение. Ед. ч. იც-ოდე |
| Вы знайте | თქვენ იცოდეთ | tkven itsodet | You know | - | глагол Знать. Повелительное наклонение. Мн. ч. იც-ოდეთ |
| Чтобы мне знать | რათა მე ვიცოდე | rata me vitsode | So that I know | - | глагол Знать. Условное наклонение. Для совершения действия в будущем. Ед. ч. ვ-იცოდ-ე |
| Чтобы нам знать | რათა ჩვენ ვიცოდეთ | rata chven vitsodet | So that we know | - | глагол Знать. Условное наклонение. Для совершения действия в будущем. Мн. ч. ვ-იცოდ-ეთ |
| Чтобы тебе знать | რათა თქვენ იცოდე | rata tkven itsode | Just so you know | - | глагол Знать. Условное наклонение. Для совершения действия в будущем. Ед. ч. იცოდ-ე |
| Чтобы вам знать | რათა თქვენ იცოდეთ | rata tkven itsodet | Just so you know | - | глагол Знать. Условное наклонение. Для совершения действия в будущем. Мн. ч. იცოდ-ეთ |
| Чтобы ему знать | რათა მან იცოდეს | rata man itsodes | So that he knows | - | глагол Знать. Условное наклонение. Для совершения действия в будущем. Ед. ч. იცოდ-ეს |
| Чтобы им знать | რათა მათ იცოდნენ | rata mat itsodnen | So that they know | - | глагол Знать. Условное наклонение. Для совершения действия в будущем. Мн. ч. იცოდ-ნენ |
| Я бы знал | მე მცოდნოდა | me mtsodnoda | I would know | - | глагол Знать. Условное наклонение. Для совершения действия в прошлом. Ед. ч. მ-ცოდნოდ-ა |
| Мы бы знали | ჩვენ გვცოდნოდა | chven gvtsodnoda | We would know | - | глагол Знать. Условное наклонение. Для совершения действия в прошлом. Мн. ч. გვ-ცოდნოდ-ა |
| Ты бы знал | თქვენ გცოდნოდა | tkven gtsodnoda | You would know | - | глагол Знать. Условное наклонение. Для совершения действия в прошлом. Ед. ч. გ-ცოდნოდ-ა |
| Вы бы знали | თქვენ გცოდნოდათ | tkven gtsodnodat | You would know | - | глагол Знать. Условное наклонение. Для совершения действия в прошлом. Мн. ч. გ-ცოდნოდ-ათ |
| Он бы знал | მას სცოდნოდა | mas stsodnoda | He would know | - | глагол Знать. Условное наклонение. Для совершения действия в прошлом. Ед. ч. ს-ცოდნოდ-ა |
| Они бы знали | მათ სცოდნოდათ | mat stsodnodat | They would know | - | глагол Знать. Условное наклонение. Для совершения действия в прошлом. Мн. ч. ს-ცოდნოდ-ათ |
| Просить | თხოვნა | tkhovna | Ask | - | глагол Просить. |
| Я тебя прошу | მეგთხოვ | me gtkhov | I ask you | - | глагол Просить. Настоящее время. Ед. ч. მეგ-თხოვ |
| Я вас прошу | მე გთხოვთ | me gtkhovt | I ask you | - | глагол Просить. Настоящее время. Мн. ч. გ-თხოვ-თ |
| Мы вас просим | ჩვენ გთხოვთ | chven gtkhovt | We ask you | - | глагол Просить. Настоящее время. Мн. ч. გ-თხოვ-თ |
| Ты просишь меня | შენ მე მთხოვ | shen me mtkhov | You ask me | - | глагол Просить. Настоящее время. Ед. ч. მ-თხოვ |
| Ты просишь нас | შენ გვთხოვ | shen gvtkhov | You ask us | - | глагол Просить. Настоящее время. Ед. ч. გვ-თხოვ |
| Попроси меня! | მკი-თხე მე! | mk'itkhe me! | Ask me! | - | глагол Просить. Настоящее время. Ед. ч. მკი-თხე |
| Вы просите меня | თქვენ მთხოვთ | tkven mtkhovt | You ask me | - | глагол Просить. Настоящее время. Мн. ч. მ-თხოვ-თ |
| Вы просите нас | თქვენ გვთხოვთ | tkven gvtkhovt | You ask us | - | глагол Просить. Настоящее время. Мн. ч. გვ-თხოვ-თ |
| Попросите меня! | მკითხეთ მე! | mk'itkhet me! | Ask me! | - | глагол Просить. Настоящее время. Ед. ч. მკი-თხ-ეთ |
| Я просил тебя | მე გ-თხოვ-ე | me gtkhove | I asked you | - | глагол Просить. Прошедшее время. Ед. ч. გ-თხოვ-ე |
| Я просил вас | მე გთხოვეთ | me gtkhovet | I asked you | - | глагол Просить. Прошедшее время. Ед. ч. გ-თხოვ-ეთ |
| Мы просили вас | ჩვენ გთხოვეთ | chven gtkhovet | We asked you | - | глагол Просить. Прошедшее время. Мн. ч. გ-თხოვ-ეთ |
| Ты попросил меня | შენ მთხოვე | shen mtkhove | You asked me | - | глагол Просить. Прошедшее время. Ед. ч. მ-თხ-ოვ-ე |
| Вы просили меня | თქვენ მთხოვეთ | tkven mtkhovet | You asked me | - | глагол Просить. Прошедшее время. Мн. ч. მ-თხოვ-ეთ |
| Бояться | შიში | shishi | Afraid | - | глагол Бояться. |
| Я боюсь | მეშინია | meshinia | I'm afraid | - | глагол Бояться. Настоящее время. Ед. ч. მე-შინია |
| Мы боимся | ჩვენ გვეშინია | chven gveshinia | We are afraid | - | глагол Бояться. Настоящее время. Мн. ч. გვე-შინია |
| Ты боишься | შენ გეშინია | shen geshinia | Are you afraid | - | глагол Бояться. Настоящее время. Ед. ч. გე-შინია |
| Вы боитесь | თქვენ გეშინიათ | tkven geshiniat | Are you afraid | - | глагол Бояться. Настоящее время. Мн. ч. გე-შინია-თ |
| Он боится | მას ეშინია | mas eshinia | He is afraid | - | глагол Бояться. Настоящее время. Ед. ч. ე-შინია |
| Они боятся | მათ ეშინიათ | mat eshiniat | They are afraid | - | глагол Бояться. Настоящее время. Мн. ч. ე-შინია-თ |
| Сказать | ვთქვა | vtkva | Say | - | глагол Сказать. |
| Я говорю | მე ვამბობ | me vambob | I say | - | глагол Сказать. Настоящее время. Ед. ч. |
| Мы говорим | ჩვენ ვსაუბრობთ | chven vsaubrobt | We say | - | глагол Сказать. Настоящее время. Мн. ч. |
| Ты говоришь | შენ ამბობ | shen ambob | You say | - | глагол Сказать. Настоящее время. Ед. ч. ამბო-ბ |
| Вы говорите | თქვენ ამბობთ | tkven ambobt | You say | - | глагол Сказать. Настоящее время. Мн. ч. ამბო-ბთ |
| Он говорит | ის ამბობს | is ambobs | He says | - | глагол Сказать. Настоящее время. Ед. ч. |
| Они говорят | ისინი ამბობენ  | isini amboben | They say | - | глагол Сказать. Настоящее время. Мн. ч. |
| Я сказал | მე ვთქვი | me vtkvi | I said | - | глагол Сказать. Прошедшее время. Ед. ч. ვთქვ-ი |
| Я сказал тебе | მე გითხარი | me gitkhari | I told you | - | глагол Сказать. Прошедшее время. Ед. ч.  |
| Я сказал вам | მე გითხარით | me gitkharit | I told you | - | глагол Сказать. Прошедшее время. Ед. ч.  |
| Мы сказали | ჩვენ ვთქვით | chven vtkvit | We said | - | глагол Сказать. Прошедшее время. Мн. ч. ვთქვ-ით |
| Мы сказали вам | ჩვენ გითხარით | chven gitkharit | We told you | - | глагол Сказать. Прошедшее время. Мн. ч. |
| Ты сказал | შენ თქვი | shen tkvi | You said | - | глагол Сказать. Прошедшее время. Ед. ч. |
| Ты сказал мне  | შენ მითხარი | shen mitkhari | You told me | - | глагол Сказать. Прошедшее время. Ед. ч. |
| Вы сказали | თქვენ თქვით | tkven tkvit | You said | - | глагол Сказать. Прошедшее время. Мн. ч. |
| Вы сказали мне | თქვენ მითხარით | tkven mitkharit | You told me | - | глагол Сказать. Прошедшее время. Мн. ч. |
| Он сказал | მან თქვა | man tkva | He said | - | глагол Сказать. Прошедшее время. Ед. ч. |
| Он сказал мне | მან მითხრა | man mitkhra | He told me | - | глагол Сказать. Прошедшее время. Ед. ч. |
| Он сказал тебе | მან გითხრა | man gitkhra | He told you | - | глагол Сказать. Прошедшее время. Ед. ч. |
| Он сказал нам | მან გვითხრა | man gvitkhra | He told us | - | глагол Сказать. Прошедшее время. Ед. ч. |
| Они сказали | მათ თქვეს | mat tkves | They said | - | глагол Сказать. Прошедшее время. Мн. ч. |
| Они сказали мне | მათ მითხრეს | mat mitkhres | They told me | - | глагол Сказать. Прошедшее время. Мн. ч. |
| Они сказали тебе | მათ ხომ გითხრეს | mat khom gitkhres | They told you | - | глагол Сказать. Прошедшее время. Мн. ч. |
| Они сказали нам | მათ გვითხრეს | mat gvitkhres | They told us | - | глагол Сказать. Прошедшее время. Мн. ч. |
| Я скажу | მე გეტყვი | me get'q'vi | I'll say | - | глагол Сказать. Будущее время. Ед. ч. |
| Я скажу тебе | მე გეტყვი | me get'q'vi | I'll tell you | - | глагол Сказать. Будущее время. Ед. ч. |
